AR,lambda,aoaRoot (deg),aoaTip (deg),process,material,orientation,flexMod (GPA),flexMod_xy (GPA),flexMod_z (GPA),flexMod_iso (GPA),E_eff_GPa,logE_eff,pred_eta
6.0,0.5,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5854
6.0,0.5,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5854
6.0,0.5,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5854
6.0,0.5,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5854
6.0,0.5,20.0,7.9918,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5853
6.0,0.5,20.0,7.9817,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5853
6.0,0.5025,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5851
6.0,0.5041,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5849
6.0,0.5,20.0,7.9226,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5848
6.0,0.5,20.0,7.9207,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5848
6.0,0.5058,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5847
6.0,0.5009,20.0,7.9134,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5846
6.0,0.5,20.0,7.8927,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5845
6.0,0.509,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5843
6.0,0.5,19.8948,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5842
6.0,0.5105,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5842
6.0,0.5,20.0,7.8412,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5841
6.0,0.5126,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5839
6.0,0.5,20.0,7.8116,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5839
6.0398,0.5,19.9956,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5837
6.0,0.5073,20.0,7.8716,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5835
6.0,0.5,20.0,7.7371,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5833
6.0,0.5185,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5832
6.0127,0.5,20.0,7.7824,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5831
6.0,0.5,20.0,7.7107,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5831
6.0,0.5071,19.8646,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.583
6.0,0.5,20.0,7.6983,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.583
6.0,0.5213,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5829
6.0,0.5,20.0,7.6563,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5827
6.0,0.5,19.943,7.7374,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5826
6.0,0.5,20.0,7.6522,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5826
6.0656,0.5,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5826
6.0,0.5236,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5826
6.0,0.5,19.7553,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5826
6.0263,0.5,20.0,7.7854,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5826
6.0,0.5,19.7418,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5824
6.0,0.5,20.0,7.619,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5824
6.0,0.5128,20.0,7.7995,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5823
6.0,0.5279,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5821
6.0,0.5,20.0,7.5833,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5821
6.0,0.5114,20.0,7.7519,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5821
6.0,0.5104,20.0,7.7257,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.582
6.0,0.5,20.0,7.5665,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5819
6.0565,0.5093,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5819
6.023,0.5,20.0,7.6805,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5819
6.0,0.5014,20.0,7.5726,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5818
6.0,0.5275,20.0,7.9587,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5818
6.0,0.5311,20.0,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5817
6.0,0.5276,19.9631,8.0,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5817
6.0,0.5038,20.0,7.5749,FDM,PCF,span_strong,,4.23,1.82,,4.23,22.165467830004598,0.5815
